Title,Artist,Album,YouTube Video ID
"紅蓮華 - Gurenge","LiSA","",TqyfmFaZlqw
"Crossing Field","LiSA","",KId6eunoiWk
"LiSA 『明け星』 -MUSiC CLiP-（テレビアニメ「鬼滅の刃」無限列車編 オープニングテーマ）","LiSA","",yGcm81aaTHg
"LiSA 『炎』 -MUSiC CLiP-","LiSA","",4DxL6IKmXx4
"ADAMAS","LiSA","",UljR2IQAVfw
"QUEEN","LiSA","",1r75nGkUA_A
"再会 - Saikai","Uru; LiSA","",pm9JyMiAU6A
"Catch the Moment","LiSA","",GWysc_zFTIA
"Unlasting","LiSA","",z9N_5CcYAio
"Rising Hope","LiSA","",IzhMzY5avLI
"白銀 - Shirogane","LiSA","",_zSab_RnNDA
"HADASHi NO STEP","LiSA","",cVp57P-eI38
"シルシ - Shirushi","LiSA","",M6_7CyDVdPM
"No More Time Machine","LiSA","",LvKSkwk4DoA
"Rally Go Round","LiSA","",n9e9AcM4fj0
"ASH","LiSA","",nv9lr6pOeOQ
"LiSA『一斉ノ喝采』 -MUSiC CLiP-（ABEMA・テレビ朝日 FIFA ワールドカップ カタール 2022 番組公式テーマソング）","LiSA","",sVH6Vh6A-AU
"「ミュージック・ステーション」×「劇場版 ソードアート・オンライン -プログレッシブ- 星なき夜のアリア」特別映像","アニプレックス チャンネル","",T9KcagzYZUY
"Ignite","Eir Aoi","",XXV6oIory8s
"藍井エイル「アイリス」 Music Video","Eir Aoi","",Pn4zz6ZdEU0
"forget-me-not","ReoNa","",0HMoPzj1BeM
"Innocence","Eir Aoi","",ELQL6P21ZFg
"courage","Haruka Tomatsu","",pxr4lSNluEo
"Resister","ASCA","",_Zo87EDFGyw
"セルフロンティア - Selfrontier","ASCA","",lHA__c007QM
"花になって - Be a flower","Ryokuoushoku Shakai","",v-WcMQbXbKY
"Shout Baby","Ryokuoushoku Shakai","",YOnqT1xVTM0
"シルエット - Silhouette","KANA-BOON","",zqKrpw36xnU
"廻廻奇譚 - Kaikai Kitan","Eve","",1tk1pqwrOys
"光るなら - Hikarunara","Goose house","",c6rCRy6SrtU
"オトノナルホウヘ→ - Oto No Naru Houe","Goose house","",QlIUHMLSVkw
"Sign","FLOW","",csVeFCLhmAM
"Go!!!","FLOW","",5etD8mRAsio
"I Wanna Be...","SPYAIR","",AGne7i4gwZI
"夜に駆ける","YOASOBI","",by4SYYWlhEs
"勇者","YOASOBI","",M4-XU0a2hf0
"アンコール","YOASOBI","",vcGbefQBvJ4
"怪物","YOASOBI","",k0g04t7ZeSw
